fecha,zona_prov,clae2,w_mean
2007-01-01,CHUBUT,59,1363
2007-01-01,CHUBUT,60,2194
2007-01-01,CHUBUT,61,3195
2007-01-01,CHUBUT,62,2385
2007-01-01,CHUBUT,63,1929
2007-01-01,CHUBUT,64,3852
2007-01-01,CHUBUT,65,2578
2007-01-01,CHUBUT,66,1306
2007-01-01,CHUBUT,68,1278
2007-01-01,CHUBUT,69,1160
2007-01-01,CHUBUT,70,2002
2007-01-01,CHUBUT,71,1838
2007-01-01,CHUBUT,72,1293
2007-01-01,CHUBUT,73,1145
2007-01-01,CHUBUT,74,1387
2007-01-01,CHUBUT,75,1242
2007-01-01,CHUBUT,77,2981
2007-01-01,CHUBUT,78,3079
2007-01-01,CHUBUT,79,1589
2007-01-01,CHUBUT,80,1530
2007-01-01,CHUBUT,81,1046
2007-01-01,CHUBUT,82,2005
2007-01-01,CHUBUT,85,1261
2007-01-01,CHUBUT,86,1807
2007-01-01,CHUBUT,87,1662
2007-01-01,CHUBUT,88,1423
2007-01-01,CHUBUT,90,1124
2007-01-01,CHUBUT,91,1374
2007-01-01,CHUBUT,92,1942
2007-01-01,CHUBUT,93,819
2007-01-01,CHUBUT,94,1966
2007-01-01,CHUBUT,95,1543
2007-01-01,CHUBUT,96,1188
2007-01-01,CHUBUT,999,1376
2007-01-01,CORDOBA,1,1114
2007-01-01,CORDOBA,2,1358
2007-01-01,CORDOBA,3,1293
2007-01-01,CORDOBA,6,5239
2007-01-01,CORDOBA,7,908
2007-01-01,CORDOBA,8,1424
2007-01-01,CORDOBA,9,2005
2007-01-01,CORDOBA,10,2031
2007-01-01,CORDOBA,11,3477
2007-01-01,CORDOBA,12,3252
2007-01-01,CORDOBA,13,1296
2007-01-01,CORDOBA,14,1132
2007-01-01,CORDOBA,15,1338
2007-01-01,CORDOBA,16,1158
2007-01-01,CORDOBA,17,2087
2007-01-01,CORDOBA,18,1676
2007-01-01,CORDOBA,19,2309
2007-01-01,CORDOBA,20,2964
2007-01-01,CORDOBA,21,4184
2007-01-01,CORDOBA,22,1855
2007-01-01,CORDOBA,23,2109
2007-01-01,CORDOBA,24,1726
2007-01-01,CORDOBA,25,1669
2007-01-01,CORDOBA,26,1732
2007-01-01,CORDOBA,27,2080
2007-01-01,CORDOBA,28,1869
2007-01-01,CORDOBA,29,3566
2007-01-01,CORDOBA,30,2787
2007-01-01,CORDOBA,31,1522
2007-01-01,CORDOBA,32,1822
2007-01-01,CORDOBA,33,1322
2007-01-01,CORDOBA,35,4214
2007-01-01,CORDOBA,36,2313
